Date,Close/Last,Volume,Open,High,Low
09/25/2024,$161.49,18869200,$161.47,$162.81,$161.30
09/24/2024,$162.29,23332150,$163.03,$163.2158,$160.69
09/23/2024,$161.85,24150850,$164.35,$165.49,$161.67
09/20/2024,$163.59,40896440,$163.50,$163.73,$162.06
09/19/2024,$162.14,26587730,$163.71,$163.79,$161.34
09/18/2024,$159.81,23677320,$159.86,$160.50,$158.595
09/17/2024,$159.32,20715610,$159.02,$160.55,$158.375
09/16/2024,$158.06,18379780,$157.31,$158.25,$156.60
09/13/2024,$157.46,29591150,$155.43,$158.38,$155.21
09/12/2024,$154.69,29695050,$153.80,$154.82,$152.65
09/11/2024,$151.16,29607690,$149.92,$151.50,$147.52
09/10/2024,$148.66,31118770,$150.45,$151.27,$148.34
09/09/2024,$148.71,39260450,$152.51,$153.40,$147.215
09/06/2024,$150.92,37912130,$157.30,$157.83,$150.55
09/05/2024,$157.24,18688750,$156.30,$159.45,$155.9805
09/04/2024,$156.45,19353760,$156.655,$159.00,$155.9616
09/03/2024,$157.36,38945300,$161.72,$161.85,$156.48
08/30/2024,$163.38,22123810,$162.615,$163.66,$161.6925
08/29/2024,$161.78,19699770,$164.31,$165.97,$160.25
08/28/2024,$162.85,16407440,$165.035,$165.60,$161.5284
08/27/2024,$164.68,11821940,$165.835,$166.4426,$164.46
08/26/2024,$166.16,14190420,$166.38,$167.55,$164.455
